iter	Passed	Remaining
0	137	137285
1	140	69885
2	143	47602
3	146	36588
4	149	29820
5	153	25408
6	156	22210
7	160	19882
8	163	17966
9	166	16460
10	169	15206
11	171	14134
12	175	13338
13	178	12574
14	181	11938
15	184	11348
16	187	10856
17	190	10405
18	193	9996
19	195	9566
20	197	9225
21	200	8925
22	203	8648
23	206	8388
24	209	8151
25	212	7946
26	214	7740
27	216	7525
28	218	7316
29	220	7133
30	222	6968
31	224	6801
32	226	6633
33	227	6477
34	229	6332
35	231	6186
36	232	6061
37	234	5929
38	235	5801
39	236	5685
40	238	5568
41	239	5454
42	240	5349
43	241	5245
44	242	5145
45	243	5050
46	244	4956
47	245	4865
48	246	4775
49	246	4688
50	247	4603
51	248	4522
52	248	4443
53	249	4368
54	250	4296
55	250	4225
56	251	4156
57	251	4089
58	252	4025
59	252	3962
60	253	3901
61	254	3842
62	254	3787
63	255	3732
64	255	3679
65	256	3629
66	257	3579
67	257	3530
68	258	3482
69	258	3435
70	259	3391
71	259	3349
72	260	3306
73	260	3265
74	261	3225
75	262	3186
76	262	3147
77	263	3110
78	263	3073
79	264	3038
80	264	3003
81	265	2970
82	265	2935
83	266	2903
84	266	2873
85	267	2842
86	268	2812
87	268	2783
88	269	2754
89	269	2726
90	270	2700
91	271	2674
92	271	2649
93	272	2624
94	272	2599
95	273	2575
96	274	2551
97	274	2527
98	275	2505
99	275	2483
100	276	2460
101	277	2440
102	277	2418
103	278	2397
104	278	2376
105	279	2356
106	280	2337
107	280	2318
108	281	2300
109	281	2281
110	282	2265
111	283	2248
112	284	2233
113	285	2215
114	285	2197
115	286	2180
116	286	2162
117	287	2146
118	287	2130
119	288	2115
120	289	2100
121	289	2085
122	290	2071
123	291	2057
124	291	2043
125	292	2031
126	293	2017
127	294	2005
128	295	1992
129	295	1980
130	296	1967
131	297	1955
132	298	1944
133	299	1933
134	300	1923
135	300	1911
136	301	1901
137	302	1890
138	303	1878
139	303	1867
140	304	1855
141	305	1843
142	305	1832
143	306	1821
144	306	1809
145	307	1798
146	308	1787
147	308	1776
148	309	1766
149	309	1755
150	310	1745
151	311	1735
152	311	1724
153	312	1714
154	312	1704
155	313	1694
156	313	1685
157	314	1675
158	315	1666
159	315	1656
160	316	1647
161	316	1638
162	317	1629
163	317	1620
164	318	1611
165	319	1602
166	319	1594
167	320	1585
168	320	1576
169	321	1567
170	321	1558
171	322	1551
172	322	1543
173	323	1535
174	323	1527
175	324	1519
176	325	1511
177	325	1503
178	326	1496
179	326	1489
180	327	1482
181	328	1474
182	328	1467
183	329	1459
184	329	1452
185	330	1444
186	330	1437
187	331	1430
188	331	1424
189	332	1417
190	333	1410
191	333	1403
192	334	1397
193	334	1391
194	335	1384
195	335	1378
196	336	1372
197	337	1366
198	338	1360
199	338	1354
200	339	1349
201	340	1344
202	340	1338
203	341	1333
204	342	1327
205	342	1321
206	343	1315
207	344	1310
208	344	1304
209	345	1299
210	346	1293
211	346	1288
212	347	1283
213	348	1278
214	348	1272
215	349	1267
216	350	1262
217	350	1257
218	351	1252
219	351	1247
220	352	1242
221	353	1237
222	353	1232
223	354	1227
224	354	1222
225	355	1217
226	356	1212
227	356	1207
228	357	1202
229	357	1197
230	358	1192
231	358	1188
232	359	1183
233	360	1179
234	360	1174
235	361	1169
236	361	1165
237	362	1160
238	363	1156
239	363	1151
240	364	1147
241	364	1142
242	365	1138
243	366	1134
244	366	1130
245	367	1125
246	367	1121
247	368	1117
248	369	1113
249	369	1109
250	370	1105
251	370	1101
252	371	1097
253	372	1093
254	372	1088
255	373	1084
256	373	1081
257	374	1077
258	375	1073
259	375	1069
260	376	1065
261	376	1061
262	377	1058
263	378	1054
264	378	1050
265	379	1046
266	379	1042
267	380	1038
268	380	1034
269	381	1030
270	381	1026
271	382	1023
272	383	1020
273	383	1016
274	384	1012
275	384	1008
276	385	1005
277	386	1003
278	387	1000
279	388	997
280	388	994
281	389	992
282	390	989
283	391	985
284	391	982
285	392	979
286	393	976
287	393	973
288	394	969
289	394	966
290	395	963
291	395	960
292	396	956
293	397	953
294	397	950
295	398	947
296	398	944
297	399	941
298	400	937
299	400	934
300	401	931
301	401	928
302	402	926
303	403	923
304	404	921
305	404	918
306	405	915
307	406	912
308	406	909
309	407	906
310	407	903
311	408	900
312	409	898
313	409	895
314	410	892
315	411	889
316	411	887
317	412	884
318	413	882
319	413	879
320	414	877
321	415	874
322	416	872
323	416	869
324	417	867
325	418	865
326	419	862
327	419	860
328	420	857
329	421	855
330	421	852
331	422	849
332	422	846
333	423	844
334	423	841
335	424	838
336	425	836
337	425	833
338	426	831
339	427	829
340	427	826
341	428	824
342	428	821
343	429	818
344	430	816
345	430	813
346	431	811
347	431	809
348	432	806
349	433	804
350	433	801
351	434	799
352	434	797
353	435	794
354	436	792
355	436	790
356	437	787
357	438	785
358	438	783
359	439	780
360	439	778
361	440	776
362	441	773
363	441	771
364	442	769
365	442	767
366	443	764
367	443	762
368	444	760
369	445	757
370	445	755
371	446	753
372	446	751
373	447	748
374	448	746
375	448	744
376	449	742
377	449	740
378	450	738
379	451	735
380	451	733
381	452	731
382	452	729
383	453	727
384	453	724
385	454	722
386	455	720
387	455	718
388	456	716
389	456	714
390	457	712
391	457	710
392	458	708
393	459	706
394	459	704
395	460	701
396	460	699
397	461	697
398	461	695
399	462	693
400	463	691
401	463	689
402	464	687
403	464	685
404	465	683
405	466	681
406	466	679
407	467	677
408	467	675
409	468	673
410	468	672
411	469	670
412	470	668
413	470	666
414	471	664
415	472	662
416	472	660
417	473	658
418	473	656
419	474	655
420	475	653
421	475	651
422	476	649
423	476	647
424	477	645
425	478	644
426	478	642
427	479	640
428	480	639
429	480	637
430	481	635
431	482	633
432	482	631
433	483	630
434	483	628
435	484	626
436	484	624
437	485	623
438	486	621
439	486	619
440	487	617
441	487	615
442	488	614
443	488	612
444	489	610
445	489	608
446	490	606
447	490	604
448	491	603
449	492	601
450	492	599
451	493	597
452	493	596
453	494	594
454	494	592
455	495	590
456	495	589
457	496	587
458	497	586
459	497	584
460	498	582
461	499	581
462	499	579
463	500	578
464	501	576
465	502	575
466	502	573
467	503	572
468	503	570
469	504	568
470	505	567
471	505	565
472	506	563
473	506	562
474	507	560
475	507	559
476	508	557
477	509	555
478	509	554
479	510	552
480	510	551
481	511	549
482	511	547
483	512	546
484	512	544
485	513	542
486	513	541
487	514	539
488	514	538
489	515	536
490	516	534
